date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:11	70/70	---MCZ	200	added ('OK')	text/plain	date:Sat,%2002%20Dec%202023%2017:28:12%20GMT	https://art.seatheme.net/robots.txt		(from )
18:28:13	79857/79857	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2017:28:13%20GMT	https://art.seatheme.net/wordpress-art-gallery-theme/	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/index.html	(from )
18:28:15	674814/674814	---MCZ	200	added ('OK')	text/css	etag:W/%22a4bfe-609ae7b4400a6%22	https://art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/siteground-optimizer-assets/siteground-optimizer-combined-css-9f2f9ec6a7be54d5f3f22b18e564a8c5.css	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/siteground-optimizer-assets/siteground-optimizer-combined-css-9f2f9ec6a7be54d5f3f22b18e564a8c5.css	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
18:28:15	19964/19964	---M--	200	added ('OK')	font/woff2	etag:%224dfc-5d8ce8aaa93d8%22	https://art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/2022/02/HipposMedium-beta.woff2	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/2022/02/HipposMedium-beta.woff2	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
18:28:15	1806/1806	---MC-	200	added ('OK')	application/rss+xml	etag:%221098ea970aa164872f89f03196d6c12e%22	https://art.seatheme.net/wordpress-art-gallery-theme/comments/feed/	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/comments/feed/index.html	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
18:28:16	20188/20188	---M--	200	added ('OK')	font/woff2	etag:%224edc-5d9a1b0a92009%22	https://art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/2022/03/HipposSemi.01.woff2	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/2022/03/HipposSemi.01.woff2	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
18:28:16	20376/20376	---M--	200	added ('OK')	font/woff2	etag:%224f98-5d9a1b096c096%22	https://art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/2022/03/HipposBold.01.woff2	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/wp-content/uploads/sites/66/2022/03/HipposBold.01.woff2	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
18:28:16	17439/17439	---MC-	200	added ('OK')	application/rss+xml	etag:%221098ea970aa164872f89f03196d6c12e%22	https://art.seatheme.net/wordpress-art-gallery-theme/feed/	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/feed/index.html	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
18:28:16	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215601-609ab90bdbf87%22	https://art.seatheme.net/wordpress-art-gallery-theme/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/wp-includes/js/jquery/jquery.minf43b.js	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
18:28:17	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sat,%2002%20Dec%202023%2017:28:18%20GMT	https://art.seatheme.net/wordpress-art-gallery-theme/wp-admin/admin-ajax.php	C:/Users/hp/Desktop/Mine/art-galll/art.seatheme.net/wordpress-art-gallery-theme/wp-admin/admin-ajax.php	(from https://art.seatheme.net/wordpress-art-gallery-theme/)
