date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:38	114/114	---MCZ	200	added ('OK')	text/plain	date:Fri,%2001%20Dec%202023%2020:06:39%20GMT	https://wedding.nicdark.com/robots.txt		(from )
21:06:38	191907/191907	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2020:06:39%20GMT	https://wedding.nicdark.com/wedding-planner/	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/index.html	(from )
21:06:38	110035/110035	---MCZ	200	added ('OK')	text/css	etag:W/%221add3-609ac86a42d66%22	https://wedding.nicdark.com/wedding-planner/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-includes/css/dist/block-library/style.minaec2.css	(from https://wedding.nicdark.com/wedding-planner/)
21:06:39	10435/10435	---MCZ	200	added ('OK')	text/css	etag:W/%2228c3-5fce8ce1c9454%22	https://wedding.nicdark.com/wedding-planner/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.0.5	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-styleb23e.css	(from https://wedding.nicdark.com/wedding-planner/)
21:06:39	781/781	---MC-	200	added ('OK')	application/rss+xml	etag:%22ab32ed4bc94366403d9ee7105ada2fb8%22	https://wedding.nicdark.com/wedding-planner/comments/feed/	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/comments/feed/index.html	(from https://wedding.nicdark.com/wedding-planner/)
21:06:39	59206/59206	---MC-	200	added ('OK')	application/rss+xml	etag:%22ab32ed4bc94366403d9ee7105ada2fb8%22	https://wedding.nicdark.com/wedding-planner/feed/	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/feed/index.html	(from https://wedding.nicdark.com/wedding-planner/)
21:06:39	265346/265346	---MCZ	200	added ('OK')	text/css	etag:W/%2240c82-5fce8ce1c889b%22	https://wedding.nicdark.com/wedding-planner/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=10.0.5	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-styleb23e.css	(from https://wedding.nicdark.com/wedding-planner/)
21:06:40	2859/2859	---MCZ	200	added ('OK')	text/css	etag:W/%22b2b-5fbd7ea0384e3%22	https://wedding.nicdark.com/wedding-planner/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.6	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/plugins/contact-form-7/includes/css/stylescfaa.css	(from https://wedding.nicdark.com/wedding-planner/)
21:06:40	17484/17484	---MCZ	200	added ('OK')	text/css	etag:W/%22444c-5f41c5aafd839%22	https://wedding.nicdark.com/wedding-planner/wp-content/plugins/nd-elements/css/style.css?ver=6.4.1	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/plugins/nd-elements/css/styleaec2.css	(from https://wedding.nicdark.com/wedding-planner/)
21:06:40	23291/23291	---MCZ	200	added ('OK')	text/css	etag:W/%225afb-5f53458f81655%22	https://wedding.nicdark.com/wedding-planner/wp-content/plugins/nd-projects/assets/css/style.css?ver=6.4.1	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/plugins/nd-projects/assets/css/styleaec2.css	(from https://wedding.nicdark.com/wedding-planner/)
